Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,CompositeDepth5y,Sector,Region,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
06-Mar-19,SECAP,Spectra Energy Cap LLC,8CBCAK,SNRFOR,USD,XR14,Composite,0.11%,0.13%,0.25%,0.34%,0.65%,0.98%,1.22%,1.30%,1.46%,1.40%,40%,7,Utilities,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SECURI,Securitas AB,W3GA3E,SNRFOR,EUR,MM14,Composite,0.08%,0.10%,0.19%,0.30%,0.57%,0.79%,0.97%,1.10%,1.16%,1.20%,39.75%,8,Industrial,Europe,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SEE,Sealed Air Corp US,8J332L,SNRFOR,USD,XR14,Composite,0.13%,0.14%,0.29%,0.50%,1.14%,1.57%,1.91%,2.06%,2.14%,2.25%,40%,9,Industrial,N.Amer,BB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SEKCHE,Sekisui Chem Co Ltd,JQ7773,SNRFOR,JPY,CR14,Composite,0.59%,0.66%,0.75%,0.83%,0.96%,1.04%,1.10%,1.11%,1.16%,1.25%,35%,2,Materials,Asia,,BB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,SEKEF,Seiko Epson Corp,JQ733F,SNRFOR,JPY,CR14,Composite,0.05%,0.06%,0.10%,0.15%,0.28%,0.34%,0.38%,0.40%,0.40%,0.41%,35%,5,,Asia,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SEKIS,Sekisui House Ltd,8J767F,SNRFOR,JPY,CR14,Composite,0.04%,0.05%,0.08%,0.12%,0.24%,0.32%,0.37%,0.37%,0.37%,0.37%,35%,6,Consumer Cyclical,Asia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SELEGRO,Selecta Group BV,NUFF79,SECDOM,EUR,MM14,Composite,0.41%,0.55%,1.15%,1.75%,2.99%,3.60%,3.87%,3.96%,4.01%,4.07%,40%,7,,Europe,B,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SELEGRO,Selecta Group BV,NUFF79,SNRFOR,EUR,MM14,Composite,0.41%,0.55%,1.15%,1.75%,2.99%,3.60%,3.87%,3.96%,4.01%,4.07%,40%,7,,Europe,B,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SENKGRO,SENKO Group Hldgs CoLtd,JQ8105,SNRFOR,JPY,CR14,Composite,0.16%,0.19%,0.27%,0.38%,0.57%,0.65%,0.71%,0.79%,0.97%,,35%,3,,Asia,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,,CcyGrp
06-Mar-19,SESG,SES,LTB30H,SNRFOR,EUR,MM14,Composite,0.13%,0.17%,0.24%,0.36%,0.69%,0.95%,1.12%,1.21%,1.28%,1.35%,40%,11,Communications and Technology,Europe,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
