"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","KINDERM","Kinder Morgan Inc.","4DD9BH","SNRFOR","USD","XR14","0.066405%","0.079026%","0.13861800000000002%","0.281595%","0.439864%","0.61682%","0.940725%","1.194882%","1.3277459999999999%","1.3832149999999999%","1.456624%","40%","","Energy","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","KINGFI","Kingfisher PLC","4DEC96","SNRFOR","EUR","CR14","0.151137%","0.188772%","0.345991%","0.517077%","0.698482%","0.870314%","1.112284%","1.273382%","1.338347%","1.370193%","1.398434%","40%","","Consumer Services","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","KINGFI","Kingfisher PLC","4DEC96","SNRFOR","EUR","MM14","0.144003%","0.17985399999999999%","0.329644%","0.49267099999999997%","0.665551%","0.8293240000000001%","1.0600500000000002%","1.213647%","1.275423%","1.305618%","1.332183%","40%","","Consumer Services","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","KINGFI","Kingfisher PLC","4DEC96","SNRFOR","GBP","MM14","0.144003%","0.17985399999999999%","0.329644%","0.49267099999999997%","0.665551%","0.8293240000000001%","1.0600500000000002%","1.213647%","1.275423%","1.305618%","1.332183%","40%","","Consumer Services","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","KINGFI","Kingfisher PLC","4DEC96","SNRFOR","USD","MM14","0.144003%","0.17985399999999999%","0.329644%","0.49267099999999997%","0.665551%","0.8293240000000001%","1.0600500000000002%","1.213647%","1.275423%","1.305618%","1.332183%","40%","","Consumer Services","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","KINGFI","Kingfisher PLC","4DEC96","SNRFOR","USD","XR14","0.144003%","0.17985399999999999%","0.329644%","0.49267099999999997%","0.665551%","0.8293240000000001%","1.0600500000000002%","1.213647%","1.275423%","1.305618%","1.332183%","40%","","Consumer Services","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","KINTGRO","Kintetsu Group Hldgs Co Ltd","JMV1EA","SNRFOR","JPY","CR14","0.06797500000000001%","0.084562%","0.13266599999999998%","0.198917%","0.292188%","0.372845%","0.470162%","0.518232%","0.5310239999999999%","0.540643%","0.563443%","35%","","Industrials","Asia","Japan","","BBB"
"06-MAR-19","E","KINTGRO","Kintetsu Group Hldgs Co Ltd","JMV1EA","SNRFOR","JPY","XR14","0.06797500000000001%","0.084562%","0.13266599999999998%","0.198917%","0.292188%","0.372845%","0.470162%","0.518232%","0.5310239999999999%","0.540643%","0.563443%","35%","","Industrials","Asia","Japan","","BBB"
"06-MAR-19","E","KINTGRO","Kintetsu Group Hldgs Co Ltd","JMV1EA","SNRFOR","USD","CR14","0.07459%","0.09372%","0.147643%","0.22175799999999998%","0.317801%","0.409945%","0.51508%","0.581134%","0.600759%","0.6143799999999999%","0.641259%","35%","","Industrials","Asia","Japan","","BBB"
"06-MAR-19","E","KMB","KIMBERLYCLARK CORP","4DD79E","SNRFOR","EUR","MR14","0.07578700000000001%","0.110184%","0.159869%","0.222698%","0.30695700000000004%","0.408603%","0.551017%","0.6487459999999999%","0.682744%","0.6997289999999999%","0.69531%","40%","","Consumer Goods","N.Amer","United States","A","BBB"
"06-MAR-19","E","KMB","KIMBERLYCLARK CORP","4DD79E","SNRFOR","JPY","MR14","0.07578700000000001%","0.110184%","0.159869%","0.222698%","0.30695700000000004%","0.408603%","0.551017%","0.6487459999999999%","0.682744%","0.6997289999999999%","0.69531%","40%","","Consumer Goods","N.Amer","United States","A","BBB"
"06-MAR-19","E","KMB","KIMBERLYCLARK CORP","4DD79E","SNRFOR","USD","MR14","0.07578700000000001%","0.110184%","0.159869%","0.222698%","0.30695700000000004%","0.408603%","0.551017%","0.6487459999999999%","0.682744%","0.6997289999999999%","0.69531%","40%","","Consumer Goods","N.Amer","United States","A","BBB"
